Date,Open,High,Low,Close,Adj Close,Volume
2018-08-02,142.860001,143.360001,142.330002,142.960007,141.432022,3841400
2018-08-03,143.240005,147.919998,143.000000,147.699997,146.121338,8053600
2018-08-06,146.949997,147.199997,145.570007,146.029999,144.469193,3913700
2018-08-07,146.649994,147.639999,146.350006,147.009995,145.438721,3508800
2018-08-08,147.330002,147.429993,146.240005,146.889999,145.320007,3581100
2018-08-09,145.529999,145.940002,144.729996,144.770004,144.770004,3093500
2018-08-10,144.500000,145.070007,143.880005,144.479996,144.479996,3003100
2018-08-13,144.149994,144.300003,142.529999,142.710007,142.710007,2858500
2018-08-14,143.000000,143.820007,142.929993,143.360001,143.360001,2860000
2018-08-15,142.550003,144.000000,142.000000,143.910004,143.910004,4241500
2018-08-16,144.369995,145.679993,144.369995,145.339996,145.339996,5250700
2018-08-17,144.789993,146.389999,144.690002,146.059998,146.059998,2678600
2018-08-20,146.369995,147.160004,146.149994,146.509995,146.509995,2499700
2018-08-21,147.000000,147.119995,145.889999,145.970001,145.970001,3106900
2018-08-22,146.009995,146.160004,145.190002,145.240005,145.240005,2389000
2018-08-23,145.039993,145.520004,144.750000,145.369995,145.369995,2220400
2018-08-24,145.460007,146.089996,144.869995,146.039993,146.039993,2776600
2018-08-27,146.940002,147.619995,146.520004,146.690002,146.690002,3491600
2018-08-28,146.949997,146.990005,146.190002,146.589996,146.589996,2455300
2018-08-29,146.869995,147.929993,146.600006,147.539993,147.539993,3153800
2018-08-30,147.029999,147.300003,145.250000,145.929993,145.929993,3340400
2018-08-31,145.720001,146.779999,145.539993,146.479996,146.479996,3436400
